Data,Hora,Origem,Payload
09/05/2025,15:40:36,D,2b484244ef228020030a040a14564a5806025d610307e4010100000615d56e430d0a
09/05/2025,15:40:36,S,+SACK:GTHBD,8020030a04,15d5$
09/05/2025,15:40:37,D,2b4256543009fe3fbf00668020030a040a14564a5806025d610321000000000000410003010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e90507163511066981b30d0a
12/05/2025,07:51:11,D,2b4256543009fe7fbf00688020030a040a14564a5806025d6103000000000000000000410000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000007e4010100000716d3d3f80d0a
12/05/2025,07:51:11,S,+SACK:16d3$
12/05/2025,07:51:12,D,2b484244ef228020030a040a14564a5806025d610307e9050c0a321716e347180d0a
12/05/2025,07:51:12,S,+SACK:GTHBD,8020030a04,16e3$
12/05/2025,07:51:12,D,2b4256540d09fe7fbf006b8020030a040a14564a5806025d610300000000000000010021000000000001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e4010100000916d49ccc0d0a
12/05/2025,07:51:12,S,+SACK:16d4$
12/05/2025,07:51:12,D,2b4256540909fe7fbf00678020030a040a14564a5806025d6103000000000000000100210001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e4010100000916d555410d0a
12/05/2025,07:51:12,S,+SACK:16d5$
12/05/2025,07:51:13,D,2b4256540309fe7fbf00678020030a040a14564a5806025d6103003278000000000100210001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e4010100000916d6948e0d0a
12/05/2025,07:51:13,S,+SACK:16d6$
12/05/2025,07:51:13,D,2b4556540909fe7fbf00678020030a040a14564a5806025d610300322d000000000102220001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e4010100001316da73870d0a
12/05/2025,07:51:13,S,+SACK:16da$
12/05/2025,07:51:14,D,2b4556540909fe7fbf00678020030a040a14564a5806025d610300323d000000000102210001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e4010100010c16db0abf0d0a
12/05/2025,07:51:14,S,+SACK:16db$
12/05/2025,07:51:14,D,2b4556540909fe7fbf00678020030a040a14564a5806025d610300323d000000000102220001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e4010100011416dce24d0d0a
12/05/2025,07:51:14,S,+SACK:16dc$
12/05/2025,07:51:15,D,2b4556540909fe7fbf00678020030a040a14564a5806025d610300327b000000000102210001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e4010100013916dd4c430d0a
12/05/2025,07:51:15,S,+SACK:16dd$
12/05/2025,07:51:15,D,2b4556540909fe7fbf00678020030a040a14564a5806025d6103003281000000000102220001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e4010100020416de0c160d0a
12/05/2025,07:51:15,S,+SACK:16de$
12/05/2025,07:51:16,D,2b5253500b09fe3fbf00668020030a040a14564a5806025d610300326f0000010222000001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e9050c0a302b16e013800d0a
12/05/2025,07:51:16,S,+SACK:16e0$
12/05/2025,07:51:16,D,2b5253501009fe3fbf00668020030a040a14564a5806025d610300326f0000010222000001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e9050c0a302b16e11a870d0a
12/05/2025,07:51:16,S,+SACK:16e1$
12/05/2025,07:51:17,D,2b4556543409fe7fbf00838020030a040a14564a5806025d610300326100000000010222000d0347563538434725494d454900780541296d6300004cb04ad2cb9201000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e9050c0a320a16e26c800d0a
12/05/2025,07:51:17,S,+SACK:16e2$
12/05/2025,07:51:17,D,2b4556540909fe7fbf00678020030a040a14564a5806025d6103003242000000000102210001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e9050c0a322116e4a6df0d0a
12/05/2025,07:51:17,S,+SACK:16e4$
12/05/2025,07:51:18,D,2b4556540909fe7fbf00678020030a040a14564a5806025d610300322f000000000102220001000000000000000000000000000000000000000000000007240006c4a707a714340000000000000000010000000000000000000007e9050c0a330916e518a60d0a
12/05/2025,07:51:18,S,+SACK:16e5$
12/05/2025,07:51:24,S,AT+GTCMD=gv58cg,1,4,AT+GTACD=gv58cg,1,,,,,,,,,,FFFF$AT+GTIDA=gv58cg,2,,,,,,,,,,,,,,,,,,FFFF$,,,,,FFFF$
12/05/2025,07:51:29,D,2b41434b2b6f268020030a040a14564a5806025d610300ffff07e9050c0a331d16e699800d0a
12/05/2025,07:51:29,S,+SACK:16e6$
