Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power OnDiferença dos tempos de FRI
10/03/2025,08:59:17,10/03/2025,11:59:18,8674886293973,0x2bef,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,82,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,08:59:47,10/03/2025,11:59:48,8674886293973,0x2bf0,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,82,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:00:17,10/03/2025,12:00:18,8674886293973,0x2bf1,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,83,-,0000,-,00,00,16,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:00:29,,,,,ACK
10/03/2025,09:00:33,10/03/2025,12:00:34,8674886293973,0x2bf3,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,83,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:01:30,10/03/2025,12:01:31,8674886293973,0x2bf4,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,84,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:02:30,10/03/2025,12:02:31,8674886293973,0x2bf5,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,84,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:03:30,10/03/2025,12:03:31,8674886293973,0x2bf6,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,85,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:04:30,10/03/2025,12:04:31,8674886293973,0x2bf7,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:04:40,,,,,ACK
10/03/2025,09:04:43,10/03/2025,12:04:44,8674886293973,0x2bf9,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:04:52,10/03/2025,12:04:53,8674886293973,0x2bfa,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:05:02,10/03/2025,12:05:03,8674886293973,0x2bfb,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:05:12,10/03/2025,12:05:13,8674886293973,0x2bfc,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:05:22,10/03/2025,12:05:23,8674886293973,0x2bfd,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:05:32,10/03/2025,12:05:33,8674886293973,0x2bfe,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:05:42,10/03/2025,12:05:43,8674886293973,0x2bff,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:05:52,10/03/2025,12:05:53,8674886293973,0x2c00,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:06:02,10/03/2025,12:06:03,8674886293973,0x2c01,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:06:12,10/03/2025,12:06:13,8674886293973,0x2c02,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,86,-,0000,-,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
10/03/2025,09:06:22,10/03/2025,12:06:23,8674886293973,0x2c03,GTFRI,0x00fe2fbf,802003,0x0902,0x0915,87,-,0000,-,00,00,1a,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a71434,0x000000,0x0000000000,0x000000,0x000000000000,-,-
