Data,Hora,Origem,Payload
10/03/2025,08:59:17,D,2b5253500700fe2fbf006380200309020915564a5806025d610352000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0b3b122befc83d0d0a
10/03/2025,08:59:17,S,+SACK:2bef$
10/03/2025,08:59:47,D,2b5253500700fe2fbf006380200309020915564a5806025d610352000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0b3b302bf0c3450d0a
10/03/2025,08:59:47,S,+SACK:2bf0$
10/03/2025,09:00:17,D,2b5253500700fe2fbf006380200309020915564a5806025d6103530000000016001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c00122bf1d5840d0a
10/03/2025,09:00:17,S,+SACK:2bf1$
10/03/2025,09:00:29,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e9030a0c001e2bf2f0990d0a
10/03/2025,09:00:29,S,+SACK:2bf2$
10/03/2025,09:00:32,D,2b5253500700fe2fbf006380200309020915564a5806025d6103530000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c00222bf30b9f0d0a
10/03/2025,09:00:33,S,+SACK:2bf3$
10/03/2025,09:01:30,D,2b5253500700fe2fbf006380200309020915564a5806025d6103540000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c011f2bf4ba560d0a
10/03/2025,09:01:30,S,+SACK:2bf4$
10/03/2025,09:02:30,D,2b5253500700fe2fbf006380200309020915564a5806025d6103540000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c021f2bf531ab0d0a
10/03/2025,09:02:30,S,+SACK:2bf5$
10/03/2025,09:03:30,D,2b5253500700fe2fbf006380200309020915564a5806025d610355000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c031f2bf6f7e40d0a
10/03/2025,09:03:30,S,+SACK:2bf6$
10/03/2025,09:04:30,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c041f2bf7f6420d0a
10/03/2025,09:04:30,S,+SACK:2bf7$
10/03/2025,09:04:40,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e9030a0c042a2bf882470d0a
10/03/2025,09:04:40,S,+SACK:2bf8$
10/03/2025,09:04:43,D,2b5253500700fe2fbf006380200309020915564a5806025d610356000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c042c2bf96bf80d0a
10/03/2025,09:04:43,S,+SACK:2bf9$
10/03/2025,09:04:52,D,2b5253500700fe2fbf006380200309020915564a5806025d610356000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c04352bfa86690d0a
10/03/2025,09:04:52,S,+SACK:2bfa$
10/03/2025,09:05:02,D,2b5253500700fe2fbf006380200309020915564a5806025d610356000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c05032bfb97f90d0a
10/03/2025,09:05:02,S,+SACK:2bfb$
10/03/2025,09:05:12,D,2b5253500700fe2fbf006380200309020915564a5806025d610356000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c050d2bfcfc1f0d0a
10/03/2025,09:05:12,S,+SACK:2bfc$
10/03/2025,09:05:22,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c05172bfd881d0d0a
10/03/2025,09:05:22,S,+SACK:2bfd$
10/03/2025,09:05:32,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c05212bfecf7b0d0a
10/03/2025,09:05:32,S,+SACK:2bfe$
10/03/2025,09:05:42,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c052b2bff189b0d0a
10/03/2025,09:05:42,S,+SACK:2bff$
10/03/2025,09:05:52,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c05352c00c79e0d0a
10/03/2025,09:05:52,S,+SACK:2c00$
10/03/2025,09:06:02,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c06032c013b660d0a
10/03/2025,09:06:02,S,+SACK:2c01$
10/03/2025,09:06:12,D,2b5253500700fe2fbf006380200309020915564a5806025d6103560000000011001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c060d2c0210040d0a
10/03/2025,09:06:12,S,+SACK:2c02$
10/03/2025,09:06:22,D,2b5253500700fe2fbf006380200309020915564a5806025d610357000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c06172c03041f0d0a
10/03/2025,09:06:22,S,+SACK:2c03$
10/03/2025,09:06:32,D,2b5253500700fe2fbf006380200309020915564a5806025d610357000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c06212c0403fd0d0a
10/03/2025,09:06:32,S,+SACK:2c04$
10/03/2025,09:06:42,D,2b5253500700fe2fbf006380200309020915564a5806025d610357000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c062b2c05d41d0d0a
10/03/2025,09:06:42,S,+SACK:2c05$
10/03/2025,09:06:52,D,2b5253500700fe2fbf006380200309020915564a5806025d610357000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7143400000000000000000000000000000000000007e9030a0c06352c06bc1c0d0a
10/03/2025,09:06:52,S,+SACK:2c06$
